tool,project,scope,syntax_pass,syntax_error,assertion_pass,assertion_error,assertion_fix_success,llm_calls,prompt_tokens,completion_tokens
marta,PySnooper,all,435,6,25,410,34,601,1534908,157832
marta,PySnooper,round1,155,4,7,148,4,601,1534908,157832
marta,ansible,all,9782,83,387,9395,431,13322,40782704,4243132
marta,ansible,round1,600,6,20,580,23,13322,40782704,4243132
marta,apimd,all,340,2,14,326,21,463,1062281,123514
marta,apimd,round1,131,1,5,126,6,463,1062281,123514
marta,black,all,1081,20,46,1035,58,1493,4459944,531540
marta,black,round1,364,4,17,347,20,1493,4459944,531540
marta,codetiming,all,75,0,4,71,2,104,266981,34937
marta,codetiming,round1,34,0,2,32,1,104,266981,34937
marta,cookiecutter,all,125,0,11,114,16,177,426139,56696
marta,cookiecutter,round1,46,0,6,40,6,177,426139,56696
marta,dataclasses-json,all,461,13,38,423,20,644,1589941,231896
marta,dataclasses-json,round1,165,6,6,159,8,644,1589941,231896
marta,docstring_parser,all,271,3,8,263,14,370,836233,120191
marta,docstring_parser,round1,107,1,5,102,4,370,836233,120191
marta,flutes,all,270,1,26,244,23,375,885359,108950
marta,flutes,round1,122,0,13,109,12,375,885359,108950
marta,flutils,all,367,2,32,335,38,508,1966721,181428
marta,flutils,round1,164,1,14,150,17,508,1966721,181428
marta,httpie,all,1248,9,29,1219,45,1691,4316908,534220
marta,httpie,round1,458,4,13,445,17,1691,4316908,534220
marta,isort,all,161,0,11,150,6,221,476308,63783
marta,isort,round1,74,0,9,65,1,221,476308,63783
marta,mimesis,all,1293,7,39,1254,110,1753,4625918,445096
marta,mimesis,round1,493,6,22,471,21,1753,4625918,445096
marta,py-backwards,all,717,19,7,710,17,985,2297973,365712
marta,py-backwards,round1,262,7,5,257,7,985,2297973,365712
marta,pyMonet,all,678,12,96,582,42,964,2164938,208807
marta,pyMonet,round1,347,8,53,294,27,964,2164938,208807
marta,pypara,all,1965,6,35,1930,68,2642,5684164,906348
marta,pypara,round1,732,4,22,710,31,2642,5684164,906348
marta,python-semantic-release,all,395,2,29,366,21,543,1062428,176454
marta,python-semantic-release,round1,169,2,14,155,8,543,1062428,176454
marta,python-string-utils,all,273,4,51,222,28,398,835389,98267
marta,python-string-utils,round1,145,1,35,110,12,398,835389,98267
marta,pytutils,all,599,5,15,584,20,815,1923567,231276
marta,pytutils,round1,210,2,7,203,4,815,1923567,231276
marta,sanic,all,721,5,25,696,25,976,2910931,358528
marta,sanic,round1,280,2,11,269,9,976,2910931,358528
marta,sty,all,90,0,7,83,16,123,287290,34302
marta,sty,round1,44,0,2,42,6,123,287290,34302
marta,thefuck,all,1113,5,39,1074,44,1507,3233756,404352
marta,thefuck,round1,424,3,16,408,15,1507,3233756,404352
marta,thonny,all,368,4,5,363,19,498,1265897,136718
marta,thonny,round1,133,2,2,131,10,498,1265897,136718
marta,tornado,all,1955,57,149,1806,69,2770,8512076,966026
marta,tornado,round1,791,27,69,722,32,2770,8512076,966026
marta,tqdm,all,349,5,7,342,10,477,1502385,160753
marta,tqdm,round1,141,1,4,137,4,477,1502385,160753
marta,typesystem,all,1045,5,47,998,81,1426,3850703,444199
marta,typesystem,round1,422,3,25,397,39,1426,3850703,444199
marta,youtube-dl,all,1907,16,41,1866,79,2581,8184409,896424
marta,youtube-dl,round1,710,7,23,687,35,2581,8184409,896424
test4py_baseline,PySnooper,all,29,123,7,35,1,0,1565084,375451
test4py_baseline,PySnooper,round1,16,40,4,16,1,0,1565084,375451
